2021_12_14_13:22:26 | 검색모델명 : rs803ghme7s | 검색된 정보 : [{"_id":{},"idx":"6836","category2":"가전","category3":"냉장고","brand":"삼성전자","year":"2014년","model_name":"Rs803ghme7s","model_code":"Rs803ghme7s","avgPrice":"200000","count":"2","maxPrice":"100000","minPrice":"100000"}]
2021_12_14_13:32:05 | 검색모델명 : 엘지투인원 | 검색된 정보 : []
2021_12_14_13:32:16 | 검색모델명 : 에어컨 | 검색된 정보 : [{"_id":{},"id":"3022981","brand":"분당ENG","model_name":"에어컨 물호스 (20m)","model_code":"에어컨","size":null,"weight":null,"keyword":["분당ENG  에어컨 물호스 (20m)","에어컨액세서리 \/ 에어컨설치용품 \/ 배수호스 \/ 직경:1.6cm","에어컨액세서리","에어컨","aircon","애어컨","애어콘","에어콘","에어컨용액세서리","악세사리","악세서리","accessory","accessories","액서사리"],"price":[{"date":"20.10","minPrice":9900},{"date":"20.11","minPrice":9900},{"date":"20.12","minPrice":9900},{"date":"21.01","minPrice":9900},{"date":"21.02","minPrice":9900},{"date":"21.03","minPrice":9900},{"date":"21.04","minPrice":9900},{"date":"21.05","minPrice":9900},{"date":"21.06","minPrice":9900},{"date":"21.07","minPrice":9900},{"date":"21.08","minPrice":10800},{"date":"21.09","minPrice":10800}],"제조회사":"분당ENG","등록년월":"2009년 06월","형태별":"에어컨액세서리","종류별":"에어컨설치용품","category1":"디지털\/가전","category2":"계절가전","category3":"에어컨\/냉난방기"}]
2021_12_14_13:32:37 | 검색모델명 : FQ17V9WWC2 | 검색된 정보 : []
2021_12_14_13:32:49 | 검색모델명 : FQI7V9WWC2 | 검색된 정보 : []
2021_12_14_13:40:13 | 검색모델명 : fnq163dsmw | 검색된 정보 : []
2021_12_14_16:46:08 | 검색모델명 : UN46EH5000 | 검색된 정보 : []
2021_12_14_16:47:25 | 검색모델명 : RS86MGRPC1W | 검색된 정보 : []
2021_12_14_16:47:34 | 검색모델명 : RS86MGRPC1 | 검색된 정보 : []
2021_12_14_16:48:02 | 검색모델명 : KRZ201WUKB | 검색된 정보 : []
2021_12_14_16:48:12 | 검색모델명 : KRZ201 | 검색된 정보 : []
2021_12_14_21:06:20 | 검색모델명 : AF19T7973 | 검색된 정보 : []
2021_12_14_21:06:36 | 검색모델명 : AF19T7973WFN | 검색된 정보 : []
2021_12_14_21:26:12 | 검색모델명 : 에어컨 | 검색된 정보 : [{"_id":{},"id":"3022981","brand":"분당ENG","model_name":"에어컨 물호스 (20m)","model_code":"에어컨","size":null,"weight":null,"keyword":["분당ENG  에어컨 물호스 (20m)","에어컨액세서리 \/ 에어컨설치용품 \/ 배수호스 \/ 직경:1.6cm","에어컨액세서리","에어컨","aircon","애어컨","애어콘","에어콘","에어컨용액세서리","악세사리","악세서리","accessory","accessories","액서사리"],"price":[{"date":"20.10","minPrice":9900},{"date":"20.11","minPrice":9900},{"date":"20.12","minPrice":9900},{"date":"21.01","minPrice":9900},{"date":"21.02","minPrice":9900},{"date":"21.03","minPrice":9900},{"date":"21.04","minPrice":9900},{"date":"21.05","minPrice":9900},{"date":"21.06","minPrice":9900},{"date":"21.07","minPrice":9900},{"date":"21.08","minPrice":10800},{"date":"21.09","minPrice":10800}],"제조회사":"분당ENG","등록년월":"2009년 06월","형태별":"에어컨액세서리","종류별":"에어컨설치용품","category1":"디지털\/가전","category2":"계절가전","category3":"에어컨\/냉난방기"}]
